"15","barfly","Barfly","Braff, Gutwillig","Well, I've been kicked and beaten,
It don't bother me no more.
Don't offer me no pillows,
When I'm just fine here on the floor

I've so many wounds
That I hope they'll never mend
But I can raise my glass up
For a beer with all my friends

'Cause I'm the Barfly, I like to drink, that's what I do

All these women in the world...
Why did I leave mine when times were so rough
All these women in the world...
Why did I leave mine when times were so rough
But when you left me baby, you left me needing more than enough

(Alternate Second Verse:
There's a curly girl from Jersey
she's sittin' on my right
Showin  me her cleavage
Which she so sweetly wraps up tight
I snatch another whiskey
Just to improve the view
don't listen to the truth I'm tellin her, none of its directed at you,
'Cause I'm the Barfly, I like to drink, that's what I do)

Well the ocean's my home
I'm living on the liferaft alone

Well the ocean's my home
I'm living on the liferaft alone

Now they call me flat stir crazy
But I'm just sittin here at the bar flat on my throne

Well I've been kicked and beaten
It don't bother me no more.
Don't offer me no pillows,
When I'm just fine here on the floor

I've so many wounds
That I hope they'll never mend
But I can raise my glass up
For a beer with all my friends

'Cause I'm the Barfly, I like to drink, that's what I do",,,"0"
"16","basis","Basis For A Day","Abrams, Gutwillig",,"Basis For A Day 
(transcribed by Rich Steele)

ok, when they actually do start the song, barber does this fanning type of 
thing that goes like this:
  E               D  C#
E 
B 17 17 17 17 17  15 14
G x  x  x  x  x   x  x
D 14 14 14 14 17  12 11
A
E

which goes into the simple G > A thing.
(G- on the 3rd fret. A- on the 5th)
Listen to a tape to hear how many beats you play the A before going down 
to the G.

Then, after you slow it down at the end with the slow G, slowly strum 
these series of bar chords: 

  E     F     Ab    B        D  E
E 0     1     4     7        
B 0     1     4     7        7  9
G 1     2     5     8        7  9
D 2     3     6     9        7  9   (strum this last E fast)
A 2     3     6     9        5  7  
E 0     1     4     7              



Then it goes into the (ooooooohhhh) part, where you just play the A > G 
part again.
Which then goes into the bass solo, which marc plays over a Ebm > Bbm7.

Then after the bass solo they play over this progression:

Eb > F# > A > C# > Em > B > F   
(play twice, then they jumps into these next 2 riffs, which are played 
over a Bm7 > Em.)


E                                            7(h)8(p)7 (trills)
B          7 7(h)8(p)7 (trills)            8
G         7                               7
D        7                             9 9
A 7  9 9                          7
E

                           F#m7  F7  Em  Bm
E                                        7
B       7 7(h)8(p)7         10   10   8  7    
G      7             9(p)7   9    8   9  7
D   9 9                     11   10   9  9  
A 7                          9    8   7  9
E                                        7


then...

E
B 5 5 5 5                 8  8  8  8
G 5 5 5 5  (-->> slide)   9  9  9  9
D 7 7 7 7                10 10 10 10
A 7 7 7 7                10 10 10 10
E

E
B 5 5 5 5   10   8  8  8  7 7 7  5 5 5
G 6 6 6 6   11   9  9  9  7 7 7  6 6 6
D 7 7 7 7   12  10 10 10  9 9 9  7 7 7
A 7 7 7 7   12  10 10 10  9 9 9  7 7 7
E


(play that section twice)
(then drops back down into this chromatic riff)

E  12 11(h)12  11 10(h)11  10 9(h)10 9 8(h)9
B
G
D
A
E

E 8 7 5 7 8 9  10 10 10 10 10 11 10 9 8 7 8 9
B
G
D
A
E

E 10
B    10 8
G
D
A
E




This then repeats for a bit, then eventually goes into the (OOooooohhhh) 
part again over the G > A.

then they play this riff which leads into the outro jam.

E
B
G
D                                 
A      5                          5          7
E  5 7    7(p)5 5(sl)3 3(h)5  5 7    7(p)5 5 5

play this 4 times




-- Basis ending --
(listen for the key change to A major, where they all typically land on a 
E to start the outro jam.)
Is done over a A > D > G progression.

This is the ending riff. (play 4 times)

E 21 21 21 22 21 19 19   21 22 22 21 21
B                      18               20(sl)22
G
D
A
E

then....
E
B 19 17 15  13
G              14 12 9
D
A
E

Then they just jam a bit more over that same 
A > D > G progression, until barber hits that ending riff again. then it 
goes into the  final part, which is this.


E
B
G
D                                 
A      5                          5          7
E  5 7    7(p)5 5(sl)3 3(h)5  5 7    7(p)5 5 5

play this 4 times


",,"0"
"17","bathroom","She Came In Through The Bathroom Window","The Beatles",,,,"1"
"18","bazaar","Bazaar Escape","Jon Gutwillig","Corrinado slipped the chopping block
The onlookers in fear and shock
He bolted swiftly through the crowd
The women yelled and screamed aloud

Manilla's words rang through the air
'Kill that man or all Beware!'
Corrinado tookoff all for bust
Gone behind a cloud of dust

Passed on tragedy Corrinado moves with ease
Eluding all authority with his own agility
Ducks down an alley to the center square bazaar
Soldiers yell, soldiers scream, don't let him get too far.

Corrinado hides down an alley
As Manilla's troops begin to rally
He lays behind the street snake charmer
and slips out of his prison pajamas

The Matador, the bull can run
Corrinado sidestepped everyone
Takes off towards the end of town
Drawing troops from all around

He knows he's got but one way out
His only route without a doubt
be fastest to the mighty cliffs
and jump for his own benefit

Passed on tragedy Corrinado moves with ease
Eluding all authority with his own agility
Ducks down an alley to the center square bazaar
Soldiers yell, soldiers scream, don't let him get too far.

Carooning down the mountain top
A bouncing rock no will can stop
Their chasing our strong hero down
Who dodges trees with swift abounds
He spins the air like a carousel
While dodging shots adeptly till
His steps no longer make a sound
His feet are well above the ground",,,"0"
"19","beatit","Beat It","Michael Jackson",,,,"1"
"20","beethoven","Beethoven's Ninth Symphony, Second Movement","Beethoven",,"transcribed by Rich Steele


2nd movement from Beethoven's 9th symphony

What I have tabbed out there is only about the first minute of the 
movement, which is about the only part you can get away with playing it 
with just one instrument.
Its in 3/4 and the sheet music i learned this from says the tempo is 113. 
The timing is the key here, cause you're basically playing a note on every 
single beat. 



E-10        5        
B---------------------3       
G----7 7       2 2      
D------------------------0 0
A   
E


E       |
B 10    |      |       |      |    
G       |7 9 10|9 10 12|10 9 7|7   
D----7 7|      |       |      |      |7 9 10
A---------------------------------5 5|     
E

E    
B                           
G        |      |     |     |     |     
D 9 10 12|10 9 7|8 7 5|     |     |     
A        |      |     |8 7 5|4 5 7|5 4 5
E

E 10    |5 7 8|7 8 10|8 7 5|       |
B       |     |      |     |11 10 8|     
G----7 7|     |      |     |       |10 9 7       
D        
A
E

E-------------------|--12 12|12 12 12|12 12 12
B      |     | 10 10|10     |        |  
G 6 7 9|7 6 7|      |       |        |      
D      |     |7     |
A
E

E 12 12  |        |        |       |
B      10|10 10 10|10 10 10|11 10 9|      |
G        |        |        |       |10 9 7|   
D                                         |
A
E

E                                       
B       |                  |     |6 8 10|
G 10 9 7|      |     |     |6 7 9|      |      
D       |10 9 7|6 7 9|7 6 7|     |      |
A              |     |
E

E    
B 11 10 8|      |     |     |     |     |   
G        |10 9 7|6 7 9|7 6 7|6 7 9|7 6 7|6 7 9
D        |      |     |     |     |     |
A             (gradually play louder...)
E

E    
B      |       |       |       |       |
G 7 6 7|9 10 12|10 9 10|9 10 12|10 9 10|9 10 12 
D      |       |       |       |       |
A
E


E    
B  10                           
G        |      |       |      |11 10 8| 
D     7 7|7 9 10|9 10 12|10 9 7|       |10 9 7 
A (twice)|      |       |      |       |
E

E    
B      |     |11 10 8|      |     |     |10 8 6
G 6 7 9|7 6 7|       |10 9 7|6 7 9|7 6 7| 
D      |     |       |      |     |     |
A
E

E    
B      |     |     |   10 10|10 8 6|        
G 9 7 5|4 5 7|5 4 5|        |      |9 7 5 
D      |     |     |7       |      |
A 
E

E       |12 10 8|7~~~    
B  8 6 5|       |                   
G       |       |             
D
A
E





",,"1"
"21","birthday","Don't Cry On Your Birthday","Sam Altman","(Thanks to Colin Borchert for the submission.)

Don't cry little girl, don't cry
I'm not here to tell you goodbye,
If you don't ever leave me you won't hear me say
Goodbye little girl, goodbye.

We could run away to Mexico
or we could see the lights on the boardwalk.
I could maybe sing alone with the radio
but I won't sing the parts out of order
If you want you could lay in bed until the sun goes down,
And you know about the stars over Broadway
And you know I could give you cheer when the lights go out
But I can't feel my way in the darkness.

C: Don't cry on your birthday,
My tank is full,
I'll bring (drive) you to your party
Just like I said I would.
Don't cry on your birthday,
If you're waiting (driving) in the car.
We're still a little early
And we haven't come that far.

You could make me drive around in an evening gown
or we could have the party in a Bronco
and I would stay alone at night because the ____ is gone
but you know all that walking makes me crazy.
And I've been all around the world a thousand times,
And I've been out fishing with my Honda
And don't cry when you see another year go by
Cause you know I'm not getting any older.",,,"0"
"22","bisquick","Disco Bisquick",,,,,"0"
"23","bluemonk","Blue Monk","Thelonious Monk",,,,"1"
"24","boogiestop","Boogie Stop Shuffle","Charles Mingus",,,,"1"
"25","boop","Little Betty Boop","Jon Gutwillig","Little betty boop's been thinking it over
Kicking it around the whole damn day
wants to view herself as a  Casanova
Little betty boop has gone astray

The candlelight scene and still she's bored
cause her coochie can't stand her hand no more
and the rage the former lampshade queen
Finds her taste stuck in-between

Little betty boop's been thinking it over
Kicking it around the whole damn day
wants to view herself as a  Casanova
Little betty boop has gone astray

She knew when she was little
Just what it signified
But now as she grows older
It seems to come alive
To stretch out all her wings
Why hold her self belittled
To close her eyes and dream
And drop her guard a little

Little betty boop's been thinking
Gone and straightened her messed up mind

Little betty boop's been thinking
She flipped herself to the other side

Little betty boop's been thinking
Gone and straightened her messed up mind

Little betty boop's been thinking
She flipped herself to the other side

Little betty boop's been thinking it over
Kicking it around the whole damn day
wants to view herself as a  Casanova
Little betty boop has gone astray","(intro and main riff)
E
B
G  11 10(p)8
D            10
A
E

(part that comes after
intro)???????????????
E
B
G           8    8
D  8 8 8 10   10   10  8          8 10  (then
A?                       8 8(h)10       play
E                                     main riff)

  Little Betty boops been thinkin it over..
   Cm                                D#
E   8
B   8                                8
G   8                                8
D   10                               8
A   10                               6
E   8
(play main riff in between lines)

   Kickin it around the whole damn day..
   Cm                               Bm
E   8                                7
B   8                                7
G   8                                7
D   10                               9
A   10                               9
E   8                                7",,"0"
"26","bringit","Bring It On Home","Led Zeppelin",,,,"1"
"27","bringyoass","7-11","Jon Gutwillig","My girl she left,
so the story goes,
what do you know?
All the things that I thought that I knew went out the window.

There's a last time for everything,
What do you say?
It happens that way.
Stormed out yelling, gone forever, but she called me today...

And maybe, all that you want to be is all that you had to be,
When flakes of gold and fallen rubies are never enough, never enough
So you spend your time opening doors for everyone else but me.
In the morning time, the sky up above you, the sun'll come up.

I Work too hard so I buy myself style for walking the mile,
Hours a day that I spend doing nonsense worth somebody's while.

I'm gonna go out and jam
I'm gonna go out and party
I got a brand new mission
So bring your ass to the party

Cover it up
I know you got eyes,
you know you got time.
You want free from the octopus wrapped around your mind.

Run to the hills,
out on your own,
fig leaves for clothes.
Whip that tongue,
as you search for a grip,
and you reach for the phone.

And maybe, all that you want to be is all that you had to be,
When flakes of gold and fallen rubies are never enough, never enough
So you spend your time opening doors for everyone else but me.
In the morning time, the sky up above you, the sun'll come up.

I Work too hard so I buy myself style for walking the mile,
Hours a day that I spend doing nonsense worth somebody's while.

I'm gonna go out and jam!
I'm gonna go out and party!
I got a brand new mission (sometimes it's 'I got a pool full of bitches')
so bring your ass to the party!

You can't stop me
You can't stop me
You can't stop me
You can't stop me

Crossed off, laid up till noon in bed,
Got cauliflower dreams as your brain's ripped to shreds
You made it to the dance, but you're wearing a towel.
Let me play you one that'll make you howl.

Crossed off, laid up till noon in bed,
got cauliflower dreams as your brain's ripped to shreds
you made it to the dance, but you're wearing a towel.
Let me play you one that'll make you howl,
Ladies give me one that'll make me howl,
Let me play you one that'll make you wanna go out and jam!
Gonna go out and party!
I got a brand new mission 
so bring your ass to the party!",,"Also known as 'Bring Your Ass To The Party'.","0"
"29","bvd","Boulevard","Jon Gutwillig",,,,"0"
"32","cantyousee","Can't You See","Marshall Tucker Band",,,,"1"
"33","cherub","Cherub Rock","Smashing Pumpkins",,,,"1"
"34","chicken","The Chicken","Pee Wee Ellis",,,,"1"
"35","cigar","Have A Cigar","Pink Floyd",,,,"1"
"36","coat","Coat","Jon Gutwillig","I was saying, let's go all for broke
You were saying, 'In due time.'
We can wing in our winter coats
I just hope you'll be mine.
 
It was love, you said so yourself
You kissed me how divine
So why are we leaving all by ourselves
Baby it'd be fine if you want to stay

Baby bring it on (x 5)

I was off could not control myself
And you still knew I'd be fine
But now I wait behind your velvet rope
Baby it's me, don't deny

Late at night, I call you on the phone
To be next to you, any which way
Now you're gone leaving me with all these questions
There's just one thing I want to say

Baby bring it on (x 5)
(solo)
Baby bring it on (x 3)

I was saying, let's go all for broke
You were saying, 'In due time.'
We can wing in our winter coats
I just hope you'll be mine.",,,"0"
"37","confront","Confrontation","Marc Brownstein","I didn't mean no harm,
I know there's no alarm, 
And now we've made our choice. 

There is no turning back, 
You've always had the knack, 
To hear your inner voice.

But now you tune it out, 
And then begin to shout, 
Until your face turns red. 

And Amos pleads his case, 
And you remove his face, 
From what was once his head.

And if you ever see me in my dreams.
And if you know that life was what it seems.
And now you wish that it was yesterday.
But that's the price you have to pay.

No time to reminisce,
But time is what you miss,
It seems you've got no chance.

A mask to hide your face,
And wings to win your race,
We've had a change of plans.

And in the thick of night,
With not a speck of light,
And with your fingers curled.

How did you kill your friend,
And have you reached the end,
Of your forsaken world.

And if you ever see me in my dreams.
And if you know that life was what it seems.
And now you wish that it was yesterday.
But that's the price you have to pay.

The confrontation was a necessary act.
We traded in our lives but took a million back.
And in the end, it seems I get what I deserve.
But for one moment's time, I wish I had the nerve.","transcribed by Rich Steele

intro/main progression

(I found that the easiest way to learn the chord voicings is to finger pick it)

E 
B   8   8   8  10   7  7   7  10  10     10      8    8  8   8
G   9     9         9    9        10        10   9    9  7   9
D  10  10      10  10             10   10       10   10  9  10
A                                    8
E

then...

C > G > A

A                        G      
And if you ever see me in my dreams..

D > C > A

then..

E > G > F#m > A > C > Bm > E
and
E > G > F#m > A  > main progression


Chorus 

              - E       5
              - B  7    5
A > D with a  - G    7  6     at the end of each line.
              - D       7
              - A
              - E  

that is only one way of playing the chorus part. basically you just need to make sure you're throwing in a F# note to a D note below it that resolves to a E note, which is part of the A major chord you go back into. So the whole thing is a A > D progression with a couple notes thrown in between.

",,"0"
"38","copters","Helicopters","Jon Gutwillig","Three, three.
Fly high.
No wings.
To show.
Show, show.

HEY!
Helicopters, look out below.
Helicopters, flying low.

Night, night.
In the red sky.
Three fly.
All in a line.
Running out of time.

HEY!
Helicopters, look out below.
Helicopters, flying low.","transcribed by Rich Steele


(intro)
E                                        12~~
B                                        12~~
G                                        12~~
D                                        12~~
A 5 6 7 (play this  7 5 7 7 7 7 5 7 7    12~~
E        4 times)                        
                                         (twice)
E
B
G          (play this twice)
D                                     5 7
A               3                   5 
E 3(h)5 5 5 5 5   5   3(h)5 5 5 5 5 


E
B
G
D       7   5 7      (just keep looping
A   7 7   5          this riff over and over
E 5                  till the chorus. 
                     the ",,"0"
"417","crater","Haleakala Crater","Jon Gutwillig","To the islands where I go,
To find my creator.
Haleakala Crater,
Wait for the sun.

The morning it crept on,
the sky clear for day,
the wind blew by slowly,
the rivers were dry.

Up with my feet as I
 walked on the mountain,
a staff laid out before me
 and plenty of time.

Barley, the sun rose,
peeked above the crator,
the light hit the stars now,
and lit up the sky

Up came the heat,
as I walked on the mountain,
my legs trembled before me, 
I did not know why.","Halekala Crater by Jon Gutwillig
Tabbed by Tj Grace

*harmonics
^bend

Intro: 

E-10--10-12h14p12--------|-10-10-12h14p12---------|-10-10-10-------------10--10-10
B---12-------------------|---12-------------------|---12------12p10h12---12----
G------------------------|------------------------|-------------------------
D------------------------|------------------------|-------------------------
A------------------------|------------------------|-------------------------
E------------------------|------------------------|-------------------------


Verse Riff: 00:40
E---------------|-----------------------------
B---10-7---x3---|------------12-9------12---
G--7----9-7-----|-7/9-9---9------11--9--9--
D-7-------------|7----9--9----------9-------
A---------------|-----------------------------
E---------------|------------------------------

then I just start noodling around on this pattern and then it goes into a 
little jam or guitar solo. The key switches a little from D to G I believe (I 
use E mixolydian then to a D major I think). Use this as a basis..

E--17-16-14---------------- E Mix        
B---------------17-15-14--------          
G----------------------------16-14-13   

The next time it breaks down at 6:20 is kinda tricky. I Just play a little 
solo in D at that point, then it goes back forth into some tension thing. All 
I really know is the riff he plays towards the end before the insanity 
starts. Goes like this..

E---------------------------------
B-9-----10-9----9---------------
G--11-9-----11---11-9--11-9--
D----------------------------------
A----------------------------------
E----------------------------------

When at around 9:00 minutes I play it up here and really fast
E16----17-16--16----------repeat-|-161616-1717117-191919-2121212121
B--19-17----19--19-17-16---------|--------

then
E
B
G-6/8/11/9
D-x/x/x/-x
A-4/6/9/-7
E

at 9:35 he actually plays this riff again (at a diff location think)

E16----17-16--16--------
B--19-17----19--19-17-16

play this chord fast at 9:35 

E-21
B-x
G-16
D-x
A-14
E

then the solo, I don't wanna sit here all day so I'll just throw in a few 
things...

E------------------------------------------------------
B-12^^^-12h14p12----12h14p12--------12------
G---------------------13--------------13/11---11/9-
D------------------------------------------------------
A------------------------------------------------------
E-------------------------------------------------------

E------------------------------------------------|----------------|
B------------------------------------------12^--|-------------12--|
G-------------------9-9-11-11-11^-11^11^--|----/9/11/13--|
D-999999999h11-----------------------------|-/11-----------|
A------------------------------------------------|----------------|
E-------------------------------------------------|---------------|

E--------------12-13-14/16/14--12--12|----12-14-16|---16-171717/19/21
B--12-13-14-----------------------------|-/14-----------|-17--------------
G/13--------------------------------------|----------------|-----------------
D------------------------------------------|----------------|-----------------
A------------------------------------------|----------------|-----------------
E-------------------------------------------|---------------|-----------------

10:02..
E--21(hold)21p19-17/16-|16-21p17p16 x8(I think)-16/12-----
B----------------------------|----------------------------------
G----------------------------|----------------------------------
D----------------------------|----------------------------------
A----------------------------|----------------------------------
E----------------------------|----------------------------------

10:13..
E--------------------------12h14t21(I tap this part then bend at) 14^ 
B12^^^^^(hold)12^10/9

Then a short solo in D... followed by the ending riff
E-------------------------12h16p12-9-12^-12(bend back down)9--------------
B-----------------12-14------------------------------------------------12^10-9-----
G------11-12-13-----------------------------------------------------------------11-9
D11-14--------------------------------------------------------------------------------
A---------------------------------------------------------------------------------------
E---------------------------------------------------------------------------------------

the final part comes at this point the last time he plays the riff above...
E-9-12/14-12---------12-14-16-17-19-21---21-19-17-16-14-12
B---------------14--14------------------------------------------------


E-----12-----------------------------------|--------------------12*---
B-/14---14-12-------14-12-------12----|-----------------12*------
G--------------13-13--------13/11--11/9|--------------------------
D-------------------------------------------|-9/11/9------------------
A-------------------------------------------|---------9/11/9--------9/7
E-------------------------------------------|--------------------------

Corrections, suggestions, ect... ShineOn40z@aol.com","<I>My Lady Survives</I> is now the ending section of <I>Haleakala Crater</I>","0"
"40","crystal","Crystal Ball","Jon Gutwillig","Well I woke up in the basement 
When I woke up in a full-on sixty-nine 
I didn't know anything about her 
And everything was ok

She made all these little noises 
and she stopped but she could not find the light 
She asked was I her boyfriend 
and what was I supposed to say?

Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal ball

I was walking on the pavement 
And you asked me can I spare a dime 
I got some quarters from Canada 
that I use for the parkway

And I walked up to the airport 
with my smock and slippers and my dog
that'll make it through the metal detector
I didn't like 'em anyway

Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal ball

Cheers to you it's like a dream you 
live by seeking fortunes at the door 
We brim about her move
Don's a slick impala groove

Questioning reality 
Children holding incense across the floor 
A different world in store
Overjoyed as she comes back for...

Manatees on tapestries 
See them wiggle slowly off the wall 
The rug beneath you moves
brings you to a seperate room

Sailing in this fantasy 
Like the different world you have in store 
Aroma's must ebb and flow
Dizzy your expected blow

Well I woke up in the basement 
no matches, teeth, or vital signs 
she was looking for her mama
I remember from the dreamscape

And I went to get a facelift 
but I still had to chill and wait in line 
While my brother gets a tummy tuck
And my brother gets a nosering

Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal 
Whoa oh oh Who's got the crystal ball","Tab by Jason Hill


Intro/Main Riff

E--------------------------------------------------------------------------
B--7----7-7-7-7-7-7----7-7-7-7-7-7----7-7-7-7-7--7--7--7---5---5-5-5-5-5--
G--7----7-7-7-7-7-7----7-7-7-7-7-7----7-7-7-7-9--7--9--7---5---5-5-5-5-5--
D--7----7-7-7-7-7-7----7-7-7-7-7-7----7-7-7-7-7--7--7--7---5---5-5-5-5-5--
A--5----5-5-5-5-5-5----5-5-5-5-5-5----5-5-5-5-5--5--5--5---3---3-3-3-3-3--
E--------------------------------------------------------------------------

E--------------------------------------
B-5--5--5-5-5-5-5--6-6
G-7--5--5-5-5-5-5--6-6
D-5--5--5-5-5-5-5--6-6
A-3--3--3-3-3-3-3--4-4
E---------------------------------------

Add this to end before beginning vocals:

E------------------------------------------------
B---5--5-5-5-5--6--6---5--5-5-5-5--6--6--
G---5--5-5-5-5--6--6---5--5-5-5-5--6--6--
D---5--5-5-5-5--6--6---5--5-5-5-5--6--6--
A---3--3-3-3-3--4--4---3--3-3-3-3--4--4--
E------------------------------------------------

Chorus:

Mostly G........Hard to tell what Barber is doing...Brownie has the rhythm.

Bridge:


E-------------------------------------------------------------------------
B-------------------------------------------------------------------------
G--7---7-7-7-7-7---7-7-7-7-7---7-7-7-7-9-7-9-6--6-6-6-6-6----6-6-6-6-6---6

E------------------------------------------------------------------
B------------------------------------------------------------------
G-6-6-6-9-6-9-5-8---8-8-8-8-8---8-8-8-8-8--

E-------------------------------------------------------------------------
B-------------------------------------------------------------------------
G--8-8-8-8-10-8-10-8-11--6--6-6-6-6-6---6-6-6-6-6---6-6-6-6-6-8-6-8-9---9-

E-------------------------------------------------------------------
B-------------------------------------------------------------------
G-9-9-9-9---9-9-9-9-9---9-9-9-9-11-9-11-10


E-------------------------------------------------------------------------
B-------------------------------------------------------------------------
G--10---10-10-10-10-10---10-10-10-10-10---10-10-10-10-10-12-14------------

E------------------------------------------------------------------
B-------13h14--14-13-------------------13h14--14-13------
G------10----10-12-14-------------------10-

That's where i left off at the bridge..........

When the vocals start again play this progression (all root 6)

C#           
Cheers to you it's like a dream you

C#               D    C#    C   B       A#
live by seeking fortunes at the door

A#           C A#              
we pick the outer room

                   C A#
start to slip in colored groove


etc.

End is Intro/Main riff
",,"0"
"41","cwb","Chemical Warfare Brigade","Marc Brownstein","I just took out two men,
Because they knew too much.
Body count's up to ten,
I never planned as such.

Many more people will die,
If this story's not told,
But it may be too late.

When it's over I won't be around,
See the trees as they fall to the ground.
You could say that I warned you of this in the past,
And you hide in the shadows they cast.

I remember the time,
When I first met Lai.
I thought I had it made
The Chemical Warfare Brigade.

And then it happened again,
As it is with everything,
Too much was never enough.
It made us feel strong.

And Amos told me how,
He thought we could triple our buck.
We had to resort to Plan B,
'Cause our first plan had run out of luck.

When it's over I won't be around,
See the trees as they fall to the ground.
You could say that I warned you of this in the past,
And you hide in the shadows they cast.

Oh, the Chemical War Brigade,
Three men tall, expecting it all
Oh, the Chemical War Brigade,
This is there for our future.
(Marc: Nowhere to run, nowhere to hide,
Backs on the wall, there's only one way out of)
Oh, the Chemical War Brigade,
Three men tall, expecting it all
Oh, the Chemical War Brigade,
This is there for our future.

Oh, the Chemical War Brigade,
Three men tall, expecting it all
Oh, the Chemical War Brigade,
This is there for our future.
(Marc: Nowhere to run, nowhere to hide,
Backs on the wall, there's only one way out of)
Oh, the Chemical War Brigade,
Three men tall, expecting it all
Oh, the Chemical War Brigade,
This is there for our future.

Nowhere to run, nowhere to hide,
Backs on the wall, there's only one way out of
Nowhere to run, nowhere to hide,
Backs on the wall, there's only one way out of
Nowhere to run, nowhere to hide,
Backs on the wall, there's only one way out of
Nowhere to run, nowhere to hide,
Backs on the wall, there's only one way out of
Here...

There's only one way out of here.
There's only one way out of here.",,,"0"
"42","depression","Manic Depression",,,,,"1"
"43","dew","Morning Dew","Bonnie Dobson",,,,"1"
"44","dinahmoe","Dinah-Moe Humm","Frank Zappa",,,,"1"
"45","divsky","Divided Sky","Phish",,,,"1"
"46","dontstop","Don't Stop Till You Get Enough","Michael Jackson",,,,"1"
"217","sabre","Sabre Dance","Aram Khatchaturian",,,,"1"
"48","drumz","Drumz",,,,,"2"
"49","dttb","Down To The Bottom","Jon Gutwillig","It's a love, but its not.
Its a dove, when its shot
how you feel when you're on top,
and yet you know you're going to drop.

Once a great affection now gone bad
Shouldn't be the cause of why you're sad
Get it going it's just the same
You drop, and sift, and fly without wings without sky.

a wise man's  little flaws,
a friendly cats sharpened claws,
the world of thought that makes you pause,
and think about your life's great cause


Once a great affection now gone bad
Shouldn't be the cause of why you're sad
Get it going it's just the same
You drop, and sift, and fly without wings without sky.",,,"0"
